house,name,volume,heating_power,air_part,material_part,cooling_power,ventilation_power,standby_power,heating_power_thermal,cooling_power_thermal,min_heatingtime,min_coolingtime,cooling_counter,heating_counter,charging_counter,discharging_counter,cop,heating_setpoint,cooling_setpoint,tolerance,temp_max,temp_min,temp_in,temp_mat,temp_out,temp_refill,proposed_status,actual_status,proposed_demand,actual_demand,mode,priority,R_value,surface_area,Ua,Um,U,Ca,Cm,Cp,location,mass_change,schedule,schedule_skew,with_dr,phase,voltage,angle,frequency,mcast_ip_local,mcast_port_local,mcast_ip_global,mcast_port_global,s0,e0,s1,e1,s2,e2,s3,e3,s4,e4,s5,e5,s6,e6,s7,e7,s8,e8,s9,e9,connected,load_class,load_type,profile,skew,irradiance,irradiance_roof,irradiance_wall1,irradiance_wall2,irradiance_wall3,irradiance_wall4,counter,min_cycletime,min_chargingtime,min_dischargingtime
H039,WH039,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,4.244015808584767,4.372011662522295,0,200,5,5,0.98,57.0,99999,4.0,61.0,50.0,50.9053788600812,50.9053788600812,20.0,13.379994910672472,0,0,0,0,1,33.03294900444495,1.3505740146037284,1.4658250117957676,1.0853348250046517,146.58250117957675,0.018088913750077533,740924.4334608173,15169.52988207204,4186,inside,4.2985901079035855e-06,P3,-131,True,CN,230.0,-120.0,50.0,232.47.226.218,11380,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,2.719805795135062,4.224308281082117,5,5
H040,WH040,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,4.5721988591158045,4.971092794898308,0,5,5,5,1.0,57.0,99999,4.0,61.0,50.0,55.79849455012544,55.79849455012544,20.0,11.979879274234744,0,0,0,0,1,60.06222674486975,1.3193349892718,1.8452701486440286,1.3986365583031461,184.52701486440284,0.023310609305052438,1046503.4370915501,19096.33171428732,4186,outside,4.975816494654702e-06,P3,-86,True,AN,230.0,0.0,50.0,231.56.136.118,12367,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,5.11196939159181,4.239197270047947,5,5
H041,WH041,0.3,3000.0,1.0,0.0,0,0,0,3000.0,0,4.241670832882168,4.543913159838546,0,296,5,5,1.0,57.0,99999,4.0,61.0,50.0,58.020725242619925,58.020725242619925,20.0,12.260333712140689,0,0,0,0,1,24.188789647876767,1.249317767483545,2.083758831471218,1.6679173911601828,208.3758831471218,0.027798623186003048,1255804.12450986,21564.403395129342,4186,outside,6.060529840567814e-06,P3,-57,True,BN,230.0,120.0,50.0,230.223.137.66,10125,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,7.584532904025004,4.008873679917107,5,5
H042,WH042,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.6695200190060167,2.1447854602364744,0,222,5,5,0.98,57.0,99999,4.0,61.0,50.0,54.52095261609571,54.52095261609571,19.989718084782314,13.494658862483316,0,0,0,0,1,24.392214642548666,1.2933741296430208,1.4658250117957676,1.1333341051133785,146.58250117957675,0.01888890175188964,740924.4334608173,15169.52988207204,4186,outside,4.372826911096394e-06,P1,747,True,CN,230.0,-120.0,50.0,235.46.27.4,11765,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,5.19521136534355,3.4863329653308357,5,5
H043,WH043,0.3,5000.0,1.0,0.0,0,0,0,5000.0,0,4.842492841326354,3.6137163520752753,0,68,5,5,1.0,57.0,99999,4.0,61.0,50.0,50.050901417506886,50.050901417506886,19.9934500327363,13.293056045723572,0,0,0,0,1,79.68935339514852,1.1524251786353492,2.083758831471218,1.8081510800889589,208.3758831471218,0.03013585133481598,1255804.12450986,21564.403395129342,4186,inside,6.390986817563871e-06,P4,-247,True,AN,230.0,0.0,50.0,235.167.180.104,11526,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,6.449847167928793,3.6866024908726533,5,5
H044,WH044,0.18,3000.0,1.0,0.0,0,0,0,3000.0,0,3.6312676798086616,3.198020719519874,0,257,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.98355787184246,53.98355787184246,19.988855864543623,12.905175197682652,0,0,0,0,1,22.011541135107063,1.0489924809369173,1.4823415671664024,1.4131098116570249,148.23415671664023,0.023551830194283745,753482.474705916,15340.456410291667,4186,outside,5.3613234216015e-06,P1,447,True,BN,230.0,120.0,50.0,232.117.59.134,12771,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,5.332488304748515,3.7222837545204275,5,5
H045,WH045,0.18,3000.0,1.0,0.0,0,0,0,3000.0,0,4.612936144643211,4.869914113918121,0,264,5,5,0.99896698824689,57.0,99999,4.0,61.0,50.0,57.69737641125294,57.69737641125294,19.996029650950327,12.861075072032461,0,0,0,0,1,40.0058099399813,1.4883034743205608,1.4823415671664024,0.9959941589487453,148.23415671664023,0.016599902649145754,753482.474705916,15340.456410291667,4186,outside,5.371172365501083e-06,P2,-339,True,CN,230.0,-120.0,50.0,238.61.73.212,12939,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,5.131367338673638,4.817927430784291,5,5
H046,WH046,0.135,2000.0,1.0,0.0,0,0,0,2000.0,0,3.0006804563212635,3.841347229399334,0,131,5,5,1.0,57.0,99999,4.0,61.0,50.0,52.084556051015895,52.084556051015895,20.0,13.10665405886994,0,0,0,0,1,60.17910582018362,1.3491737840533415,1.2236460031989773,0.9069595167516231,122.36460031989773,0.015115991945860385,565111.856029437,12663.267757905576,4186,inside,5.5791605130567005e-06,P3,394,True,AN,230.0,0.0,50.0,237.52.148.107,10580,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,0.08378257118977994,3.8728983129150354,5,5
H047,WH047,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,2.4050309866501904,4.419935148743714,0,166,5,5,1.0,57.0,99999,4.0,61.0,50.0,50.61601670240569,50.61601670240569,20.0,13.208738873478136,0,0,0,0,1,21.487393502841368,1.1047752979964718,1.8452701486440286,1.6702673855855181,184.52701486440284,0.027837789759758636,1046503.4370915501,19096.33171428732,4186,inside,5.09762595593712e-06,P2,156,True,BN,230.0,120.0,50.0,224.101.75.72,12662,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,6.949187030194927,3.419351903578189,5,5
H048,WH048,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,3.3151293644204065,3.78725063805747,0,89,5,5,1.0,57.0,99999,4.0,61.0,50.0,52.76423318481003,52.76423318481003,19.98203886888072,13.282592065904408,0,0,0,0,1,44.44446487701276,1.133038975667981,1.8452701486440286,1.6286025355448632,184.52701486440284,0.027143375592414386,1046503.4370915501,19096.33171428732,4186,outside,4.329597355481284e-06,P3,504,True,CN,230.0,-120.0,50.0,231.41.113.246,11495,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,4.654294987646183,4.901919759415612,5,5
H049,WH049,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,2.4207056493063073,2.5965124583177785,0,266,5,5,0.98,57.0,99999,4.0,61.0,50.0,57.899138173534716,57.899138173534716,20.0,13.964930076239842,0,0,0,0,1,49.64234856524405,1.2009142787633844,1.8452701486440286,1.536554424637332,184.52701486440284,0.0256092404106222,1046503.4370915501,19096.33171428732,4186,inside,4.578504554158032e-06,P3,701,True,AN,230.0,0.0,50.0,236.200.16.191,10057,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,5.179903826409785,3.0313005829305233,5,5
H050,WH050,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,3.99661929671229,2.896340011611108,0,118,5,5,0.98,57.0,99999,4.0,61.0,50.0,57.354837353412606,57.354837353412606,19.996660261793433,12.93705654377106,0,0,0,0,1,59.579969541492964,1.3464766100490881,2.5242940554414575,1.874740368010871,252.42940554414574,0.03124567280018118,1674405.4993464802,26123.414320952554,4186,inside,4.38532618413318e-06,P1,-719,True,BN,230.0,120.0,50.0,230.211.36.11,12322,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,7.132418042732526,3.985392342587943,5,5
H051,WH051,0.18,2000.0,1.0,0.0,0,0,0,2000.0,0,2.649325729535646,4.754044276851422,0,177,5,5,1.0,57.0,99999,4.0,61.0,50.0,55.67145544218723,55.67145544218723,20.0,12.142464939609079,0,0,0,0,1,36.26015294016632,1.3209182066548029,1.4823415671664024,1.1222054171850662,148.23415671664023,0.0187034236197511,753482.474705916,15340.456410291667,4186,inside,4.493423635765938e-06,P2,-779,True,CN,230.0,-120.0,50.0,232.208.199.167,12829,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,9.250714457109394,3.921466901963166,5,5
H052,WH052,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,2.2834683579404347,3.907370172173914,0,83,5,5,1.0,57.0,99999,4.0,61.0,50.0,57.90736270526347,57.90736270526347,20.0,12.96446175900489,1,0,0,0,1,39.1775021732309,1.055870815240451,1.8452701486440286,1.7476287079909576,184.52701486440284,0.029127145133182628,1046503.4370915501,19096.33171428732,4186,inside,4.297110666675854e-06,P4,356,True,AN,230.0,0.0,50.0,233.249.119.148,12649,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,3.9385438562468336,4.676523672059541,5,5
H053,WH053,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,4.056099304166959,3.92477302391423,0,194,5,5,0.998147127975207,57.0,99999,4.0,61.0,50.0,52.36069373496612,52.36069373496612,20.0,13.071204724531507,0,0,0,0,1,23.00266012712021,1.1861687787619706,1.8452701486440286,1.5556556382894988,184.52701486440284,0.025927593971491646,1046503.4370915501,19096.33171428732,4186,inside,3.953614973590595e-06,P4,304,True,BN,230.0,120.0,50.0,237.226.136.250,11828,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,6.365376842751413,4.6752049926815005,5,5
H054,WH054,0.18,2000.0,1.0,0.0,0,0,0,2000.0,0,4.3040903550937735,4.711945266690412,0,91,5,5,0.98,57.0,99999,4.0,61.0,50.0,51.96464795635415,51.96464795635415,20.0,13.181049411578798,0,0,0,0,1,74.46691016885103,1.538469342820242,1.4823415671664024,0.9635171308965123,148.23415671664023,0.016058618848275204,753482.474705916,15340.456410291667,4186,outside,4.066261926981524e-06,P4,-161,True,CN,230.0,-120.0,50.0,230.73.222.114,11511,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,3.6341947030163313,4.07647182865284,5,5
H055,WH055,0.4,3600.0,1.0,0.0,0,0,0,3600.0,0,2.202176713781247,4.714354590731197,0,263,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.514062396200295,53.514062396200295,20.0,13.800577122075428,0,0,0,0,1,46.07012022434515,1.1844066593645377,2.5242940554414575,2.1312731024290263,252.42940554414574,0.035521218373817116,1674405.4993464802,26123.414320952554,4186,outside,5.576448418401627e-06,P5,-376,True,AN,230.0,0.0,50.0,236.100.134.147,12957,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,4.382975363946988,3.7873350292161474,5,5
H056,WH056,0.4,4800.0,1.0,0.0,0,0,0,4800.0,0,3.231997787203773,4.992033213146936,0,146,5,5,0.98,57.0,99999,4.0,61.0,50.0,52.71060554594243,52.71060554594243,19.985693766253114,12.636437323907087,0,0,0,0,1,36.6662516582124,1.3808308299755259,2.5242940554414575,1.8280979832165238,252.42940554414574,0.030468299720275396,1674405.4993464802,26123.414320952554,4186,outside,3.972598786942396e-06,P2,899,True,BN,230.0,120.0,50.0,232.102.238.85,10704,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,4.500433433281317,3.0180139204985164,5,5
H057,WH057,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,2.531927023814704,3.6901508856595746,0,17,5,5,0.98,57.0,99999,4.0,61.0,50.0,54.26812607033618,54.26812607033618,20.0,12.952554641395357,0,0,0,0,1,61.90078283489717,1.1641314188921261,1.4658250117957676,1.2591576758496523,146.58250117957675,0.02098596126416087,740924.4334608173,15169.52988207204,4186,inside,6.7844308038628155e-06,P3,-673,True,CN,230.0,-120.0,50.0,228.94.246.4,12647,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,7.770123846728154,3.5244642044040306,5,5
H058,WH058,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.1507445781415444,2.139030945357269,0,45,5,5,0.98,57.0,99999,4.0,61.0,50.0,58.65202431926065,58.65202431926065,20.0,13.251836133931905,0,0,0,0,1,72.7902095696005,1.18716465110549,1.4658250117957676,1.2347276432386936,146.58250117957675,0.020578794053978226,740924.4334608173,15169.52988207204,4186,outside,6.697013375668264e-06,P5,-170,True,AN,230.0,0.0,50.0,237.45.177.23,12257,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,1.992953903608986,3.2554947158255123,5,5
H059,WH059,0.18,2000.0,1.0,0.0,0,0,0,2000.0,0,4.242056776146525,2.6958612581662793,0,143,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.137570985342506,59.137570985342506,20.0,11.667091282731795,0,0,0,0,1,70.95538982094052,1.261020656107492,1.4823415671664024,1.1755093463275075,148.23415671664023,0.01959182243879179,753482.474705916,15340.456410291667,4186,outside,5.357819248512493e-06,P4,-359,True,BN,230.0,120.0,50.0,237.154.86.5,10067,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,6.1643644281447845,4.77172713113476,5,5
H060,WH060,0.4,4800.0,1.0,0.0,0,0,0,4800.0,0,3.438809454603404,4.70186029239445,0,60,5,5,0.98,57.0,99999,4.0,61.0,50.0,53.593072570509776,53.593072570509776,20.0,12.967229530024659,0,0,0,0,1,48.966433062019306,1.0271350233357666,2.5242940554414575,2.457606836580701,252.42940554414574,0.040960113943011675,1674405.4993464802,26123.414320952554,4186,inside,4.545260927230596e-06,P3,418,True,CN,230.0,-120.0,50.0,233.14.17.146,11283,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,8.347599680306088,4.938707576479781,5,5
H061,WH061,0.177,3000.0,1.0,0.0,0,0,0,3000.0,0,3.5803806087722196,2.190477394420679,0,179,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.58611213901885,59.58611213901885,20.0,13.076013062840483,0,0,0,0,1,22.208811085102717,0.9854215184110663,1.4658250117957676,1.4875106585447042,146.58250117957675,0.024791844309078406,740924.4334608173,15169.52988207204,4186,outside,4.594219776606669e-06,P4,-34,True,AN,230.0,0.0,50.0,236.73.148.248,10575,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,2.98922855618735,3.035682447962535,5,5
H062,WH062,0.18,3000.0,1.0,0.0,0,0,0,3000.0,0,4.248717622640678,2.9543382138872634,0,143,5,5,1.0,57.0,99999,4.0,61.0,50.0,51.52638407128939,51.52638407128939,19.99741291723665,13.394952278553841,0,0,0,0,1,45.423020682186845,1.2494585537427851,1.4823415671664024,1.1863871456368122,148.23415671664023,0.01977311909394687,753482.474705916,15340.456410291667,4186,outside,4.799072982033729e-06,P2,-412,True,BN,230.0,120.0,50.0,229.214.169.12,11102,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,4.543037134015854,4.737323924544064,5,5
H063,WH063,0.135,3000.0,1.0,0.0,0,0,0,3000.0,0,3.968242665725299,2.029348899499674,0,257,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.28271024445901,59.28271024445901,19.992424788807178,12.951316068682992,0,0,0,0,1,24.412983028590336,1.0482587947715678,1.2236460031989773,1.1673128900059733,122.36460031989773,0.019455214833432887,565111.856029437,12663.267757905576,4186,outside,6.409625365868856e-06,P4,203,True,CN,230.0,-120.0,50.0,229.198.78.206,12085,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,7.674485000752048,3.16310293591272,5,5
H064,WH064,0.135,2000.0,1.0,0.0,0,0,0,2000.0,0,2.475406067828417,2.882620697472874,0,128,5,5,1.0,57.0,99999,4.0,61.0,50.0,56.19946648221778,56.19946648221778,19.984831303639233,12.699203118240575,0,0,0,0,1,66.89933384535446,1.1528118515407004,1.2236460031989773,1.0614446768252852,122.36460031989773,0.01769074461375475,565111.856029437,12663.267757905576,4186,outside,4.285005618900842e-06,P2,-846,True,AN,230.0,0.0,50.0,227.87.118.91,11516,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,8.400024891370686,4.62426427567325,5,5
H065,WH065,0.3,3000.0,1.0,0.0,0,0,0,3000.0,0,3.1415222314673987,3.2950316421648247,0,122,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.84022491195435,59.84022491195435,20.0,13.237487780384559,0,0,0,0,1,31.397815239405475,1.157649696860415,2.083758831471218,1.7999908237547526,208.3758831471218,0.029999847062579205,1255804.12450986,21564.403395129342,4186,inside,4.124206476562903e-06,P4,319,True,BN,230.0,120.0,50.0,226.106.126.126,11971,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,9.90043124963898,4.694488675721931,5,5
H066,WH066,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,2.5965601306942485,2.9973472936172367,0,222,5,5,1.0,57.0,99999,4.0,61.0,50.0,54.288589820257684,54.288589820257684,19.985355749801254,12.257625674360398,0,0,0,0,1,40.16189308998451,1.2625886532877344,1.8452701486440286,1.46149749076155,184.52701486440284,0.024358291512692504,1046503.4370915501,19096.33171428732,4186,inside,6.31533763826578e-06,P4,101,True,CN,230.0,-120.0,50.0,229.251.26.107,10138,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,4.899929185233668,3.3185928008134065,5,5
H067,WH067,0.3,3000.0,1.0,0.0,0,0,0,3000.0,0,2.8267392269793983,2.210833778573941,0,186,5,5,0.98,57.0,99999,4.0,61.0,50.0,55.876387946538884,55.876387946538884,19.995419224529183,13.206843388718157,0,0,0,0,1,75.44209306999755,1.2453918865753995,2.083758831471218,1.673175210094852,208.3758831471218,0.027886253501580863,1255804.12450986,21564.403395129342,4186,inside,5.436226490936891e-06,P3,674,True,AN,230.0,0.0,50.0,233.77.242.204,11293,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,4.490193541274702,4.281193003399666,5,5
H068,WH068,0.18,3000.0,1.0,0.0,0,0,0,3000.0,0,2.993956486135234,4.472726469670561,0,232,5,5,0.99776921564842,57.0,99999,4.0,61.0,50.0,56.88493224920546,56.88493224920546,19.996013936345708,12.23398603591152,0,0,0,0,1,60.40232709136331,1.0372003100149672,1.4823415671664024,1.429175784902158,148.23415671664023,0.02381959641503597,753482.474705916,15340.456410291667,4186,inside,4.1603608901234765e-06,P3,384,True,BN,230.0,120.0,50.0,238.183.160.29,12268,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,9.293179974032551,3.45118832578308,5,5
H069,WH069,0.135,3000.0,1.0,0.0,0,0,0,3000.0,0,2.844868480780659,2.011975746912515,0,166,5,5,1.0,57.0,99999,4.0,61.0,50.0,53.95571766592487,53.95571766592487,19.996656339527636,13.168154591191977,0,0,0,0,1,36.92734321224637,1.2812044357656889,1.2236460031989773,0.9550747476671724,122.36460031989773,0.015917912461119538,565111.856029437,12663.267757905576,4186,inside,6.492393241629102e-06,P4,594,True,CN,230.0,-120.0,50.0,226.183.239.154,12163,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,2.507227825887852,4.648499494284034,5,5
H070,WH070,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,2.6302920070813034,2.6644064124626885,0,38,5,5,1.0,57.0,99999,4.0,61.0,50.0,56.82566160121847,56.82566160121847,19.986230105042466,13.25727727380271,0,0,0,0,1,55.2219619561622,1.5450839203892526,1.8452701486440286,1.1942847403260466,184.52701486440284,0.019904745672100776,1046503.4370915501,19096.33171428732,4186,inside,6.532930391220864e-06,P5,-257,True,AN,230.0,0.0,50.0,231.95.56.81,12851,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P5,0,0,0,0,0,0,0,4.609303861912677,4.734159912087403,5,5
H071,WH071,0.3,5000.0,1.0,0.0,0,0,0,5000.0,0,2.0963058012523015,2.5540001683193676,0,125,5,5,0.98,57.0,99999,4.0,61.0,50.0,57.12591372984842,57.12591372984842,19.9966374603508,12.97151431812956,0,0,0,0,1,41.177566458608155,1.7010960130443882,2.083758831471218,1.2249507467494398,208.3758831471218,0.02041584577915733,1255804.12450986,21564.403395129342,4186,inside,4.7432263612037444e-06,P4,273,True,BN,230.0,120.0,50.0,229.15.103.32,11977,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P2,0,0,0,0,0,0,0,2.105684026177653,3.4048008782740595,5,5
H072,WH072,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,4.00799593379057,2.8035037074171245,0,99,5,5,0.98,57.0,99999,4.0,61.0,50.0,50.31270068832991,50.31270068832991,20.0,13.552488872768315,0,0,0,0,1,58.715227276362725,1.0374906876484258,1.8452701486440286,1.778589601441642,184.52701486440284,0.02964316002402737,1046503.4370915501,19096.33171428732,4186,inside,4.867100763768131e-06,P4,287,True,CN,230.0,-120.0,50.0,233.235.38.169,12463,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,2.795198858955994,4.860295392626854,5,5
H073,WH073,0.4,4800.0,1.0,0.0,0,0,0,4800.0,0,4.2336749602635955,4.850669144834872,0,122,5,5,1.0,57.0,99999,4.0,61.0,50.0,59.472620508789966,59.472620508789966,19.989922327501517,11.977014093901303,0,0,0,0,1,59.13869704061829,1.2781919787952434,2.5242940554414575,1.97489430173136,252.42940554414574,0.032914905028855995,1674405.4993464802,26123.414320952554,4186,outside,6.233449528269855e-06,P3,-63,True,AN,230.0,0.0,50.0,227.1.125.188,10627,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,2.0706516962529298,4.574544899009471,5,5
H074,WH074,0.3,3000.0,1.0,0.0,0,0,0,3000.0,0,3.4682198209445523,2.0539559575007162,0,223,5,5,1.0,57.0,99999,4.0,61.0,50.0,54.62349368327023,54.62349368327023,20.0,13.311380995266559,0,0,0,0,1,75.50804041091146,1.0269810416003609,2.083758831471218,2.029013922422622,208.3758831471218,0.0338168987070437,1255804.12450986,21564.403395129342,4186,inside,5.854447313052238e-06,P2,-597,True,BN,230.0,120.0,50.0,233.179.64.129,10085,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P4,0,0,0,0,0,0,0,2.295843378657044,3.116147826844772,5,5
H075,WH075,0.135,3000.0,1.0,0.0,0,0,0,3000.0,0,4.145974621127066,2.8994435839124697,0,179,5,5,1.0,57.0,99999,4.0,61.0,50.0,52.09645202493006,52.09645202493006,20.0,13.030163185159607,0,0,0,0,1,71.58298638216964,1.1709463551895734,1.2236460031989773,1.0450060310413383,122.36460031989773,0.017416767184022307,565111.856029437,12663.267757905576,4186,outside,5.248231741405411e-06,P2,-136,True,CN,230.0,-120.0,50.0,238.237.51.32,12894,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,4.125766577447754,4.942478641042518,5,5
H076,WH076,0.135,2000.0,1.0,0.0,0,0,0,2000.0,0,4.945734228215465,2.2701079721969024,0,56,5,5,1.0,57.0,99999,4.0,61.0,50.0,58.10410050141508,58.10410050141508,20.0,12.205829920544248,0,0,0,0,1,25.629417169235335,1.374746948076437,1.2236460031989773,0.8900881757992757,122.36460031989773,0.014834802929987926,565111.856029437,12663.267757905576,4186,outside,4.886257412748221e-06,P1,17,True,AN,230.0,0.0,50.0,235.253.47.66,11713,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P1,0,0,0,0,0,0,0,3.5387417502930116,3.136190860365798,5,5
H077,WH077,0.25,3000.0,1.0,0.0,0,0,0,3000.0,0,3.243556924983717,4.931127002309535,0,289,5,5,0.98,57.0,99999,4.0,61.0,50.0,51.802510646723604,51.802510646723604,19.996229185609756,12.841523073473233,0,0,0,0,1,42.44346266005205,1.1711240877491604,1.8452701486440286,1.5756401631107613,184.52701486440284,0.026260669385179354,1046503.4370915501,19096.33171428732,4186,inside,4.21167315680545e-06,P3,-806,True,BN,230.0,120.0,50.0,231.186.31.175,10857,224.0.2.0,10000,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,tcl,waterheater,P3,0,0,0,0,0,0,0,5.124389606540415,4.162860262467103,5,5
